"filename", "language", "JavaScript", "JavaScript JSX", "XML", "CSS", "JSON with Comments", "TypeScript JSX", "TypeScript", "JSON", "Properties", "HTML", "YAML", "Python", "Shell Script", "Markdown", "pip requirements", "reStructuredText", "C++", "C", "PowerShell", "comment", "blank", "total"
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/.github/workflows/azure-static-web-apps-agreeable-desert-06378791e.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 46
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/.github/workflows/azure-static-web-apps-calm-flower-0cd7d4b10.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 46
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/.github/workflows/azure-static-web-apps-green-bush-02b2b8910.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 46
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/.github/workflows/azure-static-web-apps-icy-wave-07d0ff01e.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 46
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/.github/workflows/azure-static-web-apps-orange-meadow-089d76910.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 46
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/.github/workflows/azure-static-web-apps-purple-grass-09f2b0310.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 46
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/.github/workflows/azure-static-web-apps-purple-island-04780ab10.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 46
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 42202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42203
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 106
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/DeployReact/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
